review_scope,ticker,fiscal_year,items,generation_mode,round1_query_type,round1_question,round1_snippet_preview,round1_decision,round1_reviewer_comment,round2_query_type,round2_question,answer_requirement,curation_note,change_summary,acceptable_occurrence_count,round2_snippet_previews,candidate_id,round2_decision,round2_reviewer_comment
active,PLD,2025,Item 5 | Item 16,passage_first,factoid,Prologis Series Q per-share dividend amount for 2025,"Dividends payable per share were $4.27 for the year ended December 31, 2025.",o,屬於 long-tail 的題目,factoid,Prologis Series Q per-share dividend amount for 2025,One independently sufficient span must identify the Series Q total dividend of $4.27 per share for 2025; a dividend amount for another security is partial.,This evidence states a precise annual per-share dividend and tests retrieval of a company-specific preferred-stock payment.,"The approved Round 1 question remains unchanged. The filing store labels the separate Series Q dividend table under Item 16, so the Item 5 sentence and Item 16 table remain OR-hit alternatives.",2,"[{""occurrence_id"": ""PLD-2025-127107"", ""item"": ""Item 5"", ""location"": ""Preferred Stock Dividends"", ""snippet"": ""Dividends payable per share were $4.27 for the year ended December 31, 2025.""}, {""occurrence_id"": ""PLD-2025-336753"", ""item"": ""16"", ""location"": ""Dividends / Preferred Stock – Series Q"", ""snippet"": ""Total dividend\n\n         $\n\n         4.27\n\n         $\n\n         4.27\n\n         $\n\n         4.27""}]",p48,,
active,NVDA,2026,Item 1A | Item 9A,passage_first,factoid,What corporate software modernization initiative is NVIDIA continuing?,"We are continuing a phased upgrade of our enterprise resource planning, or ERP,",o,,factoid,What corporate software modernization initiative is NVIDIA continuing?,One independently sufficient span must identify the continuing ERP-system modernization initiative.,This evidence identifies NVIDIA’s phased ERP upgrade and tests retrieval of a specific ongoing financial-systems initiative.,The Round 1 question remains unchanged. Full traversal adds the Item 1A ERP implementation disclosure as a second independently sufficient OR alternative.,2,"[{""occurrence_id"": ""NVDA-2026-121635"", ""item"": ""Item 1A"", ""location"": ""Risks Related to Our Global Operating Business / business processes and information systems"", ""snippet"": ""We continue to design and implement updated accounting functionality related to a new enterprise resource planning, or ERP, system.""}, {""occurrence_id"": ""NVDA-2026-227546"", ""item"": ""Item 9A"", ""location"": ""Changes in Internal Control Over Financial Reporting"", ""snippet"": ""We are continuing a phased upgrade of our enterprise resource planning, or ERP, system to update our existing core financial systems.""}]",p49,,
active,GOOGL,2025,Item 7,passage_first,passage,What borrowing capacity and maturity schedule did Alphabet's unused revolvers have?,"As of December 31, 2025, we had $10.0 billion of revolving credit facilities, $4",o,,passage,What borrowing capacity and maturity schedule did Alphabet's unused revolvers have?,One independently sufficient span must state the total revolving-credit capacity and how that capacity is split between the April 2026 and April 2030 expirations.,"This evidence gives the company-specific size, expiration dates, and unused status of Alphabet’s revolving credit arrangements, testing retrieval of linked financing details.",The approved Round 1 question remains unchanged. The Item 7 filing-store occurrence states the full capacity and expiration split; the Item 8 copy is excluded.,1,"[{""occurrence_id"": ""GOOGL-2025-172698"", ""item"": ""7"", ""location"": ""Liquidity and Material Cash Requirements / Financing"", ""snippet"": ""As of December 31, 2025, we had $10.0 billion of revolving credit facilities, $4.0 billion expiring in April 2026 and $6.0 billion expiring in April 2030.""}]",a24,,
active,LIN,2025,"Item 7, Critical Accounting Estimates, Revenue Recognition",intent_first,passage,"Linde project exposure to materials, staffing, inflation, and scope changes",The key source of estimation uncertainty is the total estimated costs at complet,?,我覺得整個 block 才能夠回答問題，光是粗體沒辦法回答,factoid,Which cost components does Linde include when accounting for equipment contracts?,"One independently sufficient occurrence must identify the material, labor, and overhead cost components Linde includes when accounting for equipment contracts.","This passage captures Linde-specific engineering delivery risks involving input and labor estimates, construction duration, technical complexity, inflation, and changing scope.","The Round 1 question combines material and labor cost categories with technical complexity, construction duration, inflation, and scope. Those facts require multiple sentences and cannot fit in one independently sufficient 50-200 character occurrence. The revised question asks one thing; after the Item 8 exclusion, the Item 7 occurrence identifies material, labor, and overhead costs.",1,"[{""occurrence_id"": ""LIN-2025-116578"", ""item"": ""Item 7, Critical Accounting Estimates, Revenue Recognition"", ""location"": """", ""snippet"": ""The key source of estimation uncertainty is the total estimated costs at completion including material, labor and overhead costs and the resultant state of completion of the contracts.""}]",p16,,
active,NVDA,2026,Item 1A | Item 7 | Item 15,intent_first,passage,NVIDIA reliance on large downstream buyers and AI lab demand,We estimate that one AI research and deployment company contributed to a meaning,?,我覺得題目可以簡化成對大型下游買家的依賴程度就好，然後 evidence 再找過，也可以不止一個 evidence,factoid,What share of NVIDIA's fiscal 2026 revenue came from its largest direct customer?,One independently sufficient span must state the percentage of total fiscal 2026 revenue attributable to NVIDIA's largest direct customer; spans at distinct source offsets are OR-hit alternatives.,"This passage identifies concentrated indirect-buyer exposure and a meaningful fiscal 2026 contribution linked to one AI company, testing retrieval beyond direct-customer percentages.","The corrected single-intent factoid asks for the largest direct-customer share. Full-filing traversal found three distinct source occurrences that each report one direct customer at 22% of fiscal 2026 revenue and the next direct customer at 14%, making 22% the largest disclosed share.",3,"[{""occurrence_id"": ""NVDA-2026-116355"", ""item"": ""Item 1A"", ""location"": ""Risks Related to Our Global Operating Business / customer concentration risk"", ""snippet"": ""For fiscal year 2026, sales to one direct customer represented 22% of total revenue and sales to another direct customer represented 14% of total revenue""}, {""occurrence_id"": ""NVDA-2026-205958"", ""item"": ""Item 7"", ""location"": ""Results of Operations / Concentration of Revenue / Direct Customers"", ""snippet"": ""For fiscal year 2026, sales to one direct customer represented 22% of total revenue and sales to another direct customer represented 14% of total revenue""}, {""occurrence_id"": ""NVDA-2026-337687"", ""item"": ""15"", ""location"": ""Note 16 - Segment Information / Direct Customers"", ""snippet"": ""For fiscal year 2026, sales to one direct customer represented 22% of total revenue and sales to another direct customer represented 14% of total revenue""}]",p17,,
active,DDOG,2025,Item 1A,intent_first,passage,How can trade barriers affect Datadog’s growth and results?,Unfavorable conditions in the economy both in the United States and abroad may n,?,粗體字拿的不精準，應該比 markdown 更下面的內容才是重點,passage,How can export-authorization requirements affect Datadog’s sales opportunities?,One independently sufficient occurrence must state how export-authorization requirements can restrict or eliminate Datadog sales opportunities.,This passage links restrictive trade policies to economic uncertainty that may weaken Datadog’s growth and operating performance.,The Round 1 snippet states the business effect but omits the trade-barrier cause. The source sentence that joins both concepts is longer than 200 characters. The revised intent remains about a concrete trade-control impact and has one independently sufficient 50–200 character occurrence.,1,"[{""occurrence_id"": ""DDOG-2025-147331"", ""item"": ""Item 1A"", ""location"": """", ""snippet"": ""Obtaining the necessary export license or other authorization for a particular sale may be time-consuming and may result in the delay or loss of sales opportunities.""}]",p18,,
active,COIN,2025,Item 7,intent_first,passage,Coinbase domestic versus overseas revenue mix and foreign revenue source,"For the years ended December 31, 2025 and 2024 we generated 84% and 83%, respect",?,沒涵蓋的海外營收來源，需要多個 evidence,factoid,What mainly comprised Coinbase's international revenue in 2025?,One independently sufficient span must identify the main type of Coinbase international revenue in 2025.,This passage quantifies Coinbase’s geographic revenue concentration and identifies the main type of revenue earned internationally.,"The Round 1 query combined geographic mix with foreign-revenue source, while its only evidence covered the mix. Because the two adjacent disclosures cannot form separate OR alternatives for a compound question, the revision keeps the missing foreign-source intent as one independently answerable need.",1,"[{""occurrence_id"": ""COIN-2025-397600"", ""item"": ""Item 7"", ""location"": ""Results of Operations / Revenue"", ""snippet"": ""International revenue comprised mainly transaction revenue.""}]",p21,,
active,AMZN,2025,Item 7,intent_first,passage,Factors behind Amazon's 2025 overseas retail and cloud revenue gains,"The sales growth primarily reflects increased customer usage, partially offset b",?,問題牽涉海外營收與雲端業務，簡化成單一問題，重找 evidence,passage,What primarily drove AWS sales growth in 2025?,One independently sufficient span must explain the primary disclosed driver of AWS sales growth in 2025; a growth rate without the driver is partial.,"This passage captures distinct growth drivers for Amazon’s International and AWS businesses, testing retrieval across adjacent segment discussions.",The Round-1 question combined International retail and AWS. The revision keeps only AWS and the single store-exact occurrence identifies increased customer usage as the primary driver.,1,"[{""occurrence_id"": ""AMZN-2025-113141"", ""item"": ""Item 7"", ""location"": ""Overview"", ""snippet"": ""AWS sales increased 20% in 2025, compared to the prior year. The sales growth primarily reflects increased customer usage""}]",p22,,
active,DECK,2026,Item 7,passage_first,passage,Deckers fiscal 2026 supplemental sales growth and unit-volume metrics,"•We experienced an increase of 6.2% in the total volume of units sold to 78,700",?,query 同時問「sales growth」跟「unit-volume metrics」兩件事，但 snippet 只覆蓋「unit volume」這句，前兩個成長率 bullet 沒被凸顯,factoid,How did Deckers' total unit volume change in fiscal 2026?,One independently sufficient occurrence must state the fiscal 2026 percentage increase and resulting total unit volume for Deckers.,"This passage consolidates constant-currency growth, comparable direct-channel performance, and unit-volume data, testing retrieval of related supplemental operating metrics.","The Round 1 query combined sales-growth rates with a unit-volume metric, while its evidence answered only unit volume. The revised question asks only for the disclosed unit-volume change and removes the pipeline-specific bullet artifact from the canonical snippet.",1,"[{""occurrence_id"": ""DECK-2026-160539"", ""item"": ""7"", ""location"": ""Results of Operations / Supplemental Disclosure"", ""snippet"": ""We experienced an increase of 6.2% in the total volume of units sold to 78,700 from 74,100, \n\ncompared to the prior period.""}]",p23,,
active,GOOGL,2025,Item 7,intent_first,passage,How did Alphabet vary debt by denomination and coupon structure?,We also issued €6.75 billion of euro-denominated fixed-rate senior unsecured not,?,query 問的是「如何在幣別跟票面利率結構上做出不同安排」——重點是「vary（不同）」，需要對比才能回答，選的粗體不對,factoid,What mix of floating- and fixed-rate U.S. dollar notes did Alphabet issue in November 2025?,One independently sufficient span must state both the floating-rate and fixed-rate U.S. dollar note amounts issued in November 2025.,"This passage details Alphabet’s mix of dollar and euro borrowings and fixed versus floating coupons, testing retrieval of concrete financing choices relevant to currency and interest-rate exposure.","The Round 1 question requires a cross-denomination and coupon-structure comparison, but no single independently sufficient 50-200 character occurrence contains that full comparison. The revision preserves the reviewer's required contrast by narrowing to the November U.S. dollar issuance: $500 million floating-rate versus $17.0 billion fixed-rate.",1,"[{""occurrence_id"": ""GOOGL-2025-172245"", ""item"": ""Item 7"", ""location"": ""Liquidity and Material Cash Requirements / Financing / November 2025 issuance"", ""snippet"": ""We issued $500 million of US dollar-denominated floating-rate senior unsecured notes and $17.0 billion of US dollar-denominated fixed-rate senior unsecured notes""}]",p24,,
active,AXON,2025,Item 7,passage_first,passage,"What factors drove TASER, Personal Sensors, and Platform Solutions growth?","Personal Sensors increased $80.1 million, which was primarily driven by the cont",?,題目應該只問單一產品，不要一次問三個,passage,What drove the increase in Axon's Personal Sensors revenue in 2025?,One independently sufficient span must explain a principal disclosed driver of the 2025 increase in Personal Sensors revenue; an amount without a driver is partial.,This evidence captures product-specific growth drivers across all three Connected Devices lines and tests retrieval of a compact comparative operating explanation.,The Round-1 question combined three product lines. The revision retains only Personal Sensors and its disclosed drivers.,1,"[{""occurrence_id"": ""AXON-2025-181724"", ""item"": ""Item 7"", ""location"": ""Results of Operations"", ""snippet"": ""Personal Sensors increased $80.1 million, which was primarily driven by the continued adoption of our newest body camera, AB4, and higher warranty revenue from more devices in the field.""}]",p26,,
active,COST,2025,Item 7,passage_first,passage,Costco fiscal 2026 capital spending and warehouse expansion plans,"In 2025, we spent $5,498 on capital expenditures, and it is our current intentio",?,題目應該只問單一產品，capital spending 或 warehouse expansion plans,factoid,How much does Costco intend to spend on capital expenditures in fiscal 2026?,One independently sufficient span must state Costco's intended fiscal 2026 capital-expenditure amount; historical spending or warehouse counts alone are partial.,"This passage combines Costco’s projected fiscal 2026 investment range, funding sources, and planned openings, testing retrieval of a detailed forward capital plan.",The Round-1 question combined capital spending and warehouse expansion. The revision asks only for the disclosed fiscal 2026 spending range.,1,"[{""occurrence_id"": ""COST-2025-103987"", ""item"": ""Item 7"", ""location"": ""LIQUIDITY AND CAPITAL RESOURCES"", ""snippet"": ""In 2025, we spent $5,498 on capital expenditures, and it is our current intention to spend $6,000 to $6,500 during fiscal 2026.""}]",p27,,
active,PLD,2025,Item 7 | Item 16,passage_first,passage,Employee allocation and expense timing for venture incentive fees,"The Prologis Promote Plan (""PPP"") awards up to 25% of the third-party portion of",?,題目應該只問單一事，Employee allocation 或 timing for venture incentive fees,factoid,What share of third-party promote earnings can Prologis allocate to employees under its Promote Plan?,One independently sufficient occurrence must state the maximum third-party promote share allocated to employees.,"This passage captures Prologis’s specific 25% employee allocation, award mix, vesting treatment, and potential lag between incentive revenue and expense recognition.",The Round 1 query combined employee allocation with expense timing. The revision keeps the employee-allocation half already answered by the valid evidence. The filing store contains independently sufficient Item 7 and Item 16 locations.,2,"[{""occurrence_id"": ""PLD-2025-142515"", ""item"": ""Item 7"", ""location"": ""Results of Operations / Strategic Capital Segment"", ""snippet"": ""The Prologis Promote Plan (\""PPP\"") awards up to 25% of the third-party portion of the promotes earned by us from the co-investment ventures to our employees.""}, {""occurrence_id"": ""PLD-2025-348730"", ""item"": ""16"", ""location"": ""Prologis Promote Plan (“PPP”)"", ""snippet"": ""Under the PPP, for promotes earned after January 2024, we award up to 25% of the third-party portion of promotes earned by Prologis from co-investment ventures to employees""}]",p29,,
active,LIN,2025,"Item 7, Liquidity, Capital Resources and Other Financial Data, Investing",passage_first,passage,What drove Linde's 2025 investment spending and where was it concentrated?,"30


Approximately 60% of the capital expenditures were in the Americas segment",?,「驅動因素」跟「地區集中度」兩件事，問題應問單一一件事，以 evidence 來說應該問地區集中度,factoid,Where were Linde's 2025 capital expenditures concentrated geographically?,One independently sufficient occurrence must state where Linde's 2025 capital expenditures were concentrated geographically.,"This evidence captures both the backlog-related purpose and geographic allocation of Linde's capital investment, testing retrieval across adjacent quantitative details.","The Round 1 question asks both why capital expenditures increased and where they were allocated, while its snippet answers only geographic concentration and contains a page-number artifact. The revision follows the Round 1 reviewer direction and removes that artifact.",1,"[{""occurrence_id"": ""LIN-2025-108671"", ""item"": ""Item 7, Liquidity, Capital Resources and Other Financial Data, Investing"", ""location"": """", ""snippet"": ""Approximately 60% of the capital expenditures were in the Americas segment with 21% in the APAC segment and the rest largely in the EMEA segment.""}]",p30,,
active,XOM,2025,Item 1,passage_first,passage,Size and financial importance of ExxonMobil's intellectual property portfolio,ExxonMobil held over 8 thousand active patents worldwide at the end of 2025.,?,題目應該只問單一事，size 或 financial importance,factoid,How large was ExxonMobil's active patent portfolio at the end of 2025?,One independently sufficient occurrence must state the size of ExxonMobil's active patent portfolio at the end of 2025.,This evidence gives a concrete worldwide patent count and clarifies that no single intellectual property right determines segment profitability.,"The Round 1 query combined portfolio size and financial importance while its evidence answered size. The revised question selects only the supported size intent; the adjacent dependency statement answers the removed financial-importance half, not this revised question.",1,"[{""occurrence_id"": ""XOM-2025-008365"", ""item"": ""1"", ""location"": ""Business / proprietary technology"", ""snippet"": ""ExxonMobil held over 8 thousand active patents worldwide at the end of 2025.""}]",p32,,
active,NVDA,2026,Item 1,passage_first,passage,Rubin production timeline and token-cost improvement over Blackwell,"Built for agentic AI and reasoning, it excels at processing multi-step problem-s",?,題目應該只問單一事，production timeline 或 token-cost improvement over Blackwell,factoid,How does NVIDIA say Rubin improves cost per token compared with Blackwell?,One independently sufficient span must state Rubin's cost-per-token improvement relative to Blackwell.,"This evidence pairs Rubin’s expected shipment schedule with its quantified efficiency advantage, testing retrieval of a product roadmap and performance claim.",Selects only the token-cost comparison already supported by the original snippet and drops the separate production-timeline intent.,1,"[{""occurrence_id"": ""NVDA-2026-023747"", ""item"": ""Item 1"", ""location"": ""Business / Our Markets / Data Center"", ""snippet"": ""Built for agentic AI and reasoning, it excels at processing multi-step problem-solving and massive long-context workflows, delivering up to a 10x reduction in cost per token compared to Blackwell.""}]",p33,,
active,DDOG,2025,Item 1,passage_first,passage,How does Datadog identify database bottlenecks and resource constraints?,"With Database Monitoring, they can quickly pinpoint costly and slow queries and",?,題目應該只問單一事，database bottlenecks 或 resource constraints,passage,How does Datadog’s Database Monitoring identify database bottlenecks?,One independently sufficient occurrence must explain how Datadog Database Monitoring identifies database bottlenecks.,"This passage explains Datadog’s concrete methods for diagnosing slow queries, execution issues, and infrastructure-related database performance problems.","The Round 1 question combined bottlenecks and resource constraints, while its snippet answered only bottlenecks. The revised question asks one thing and is fully answered by the existing evidence.",1,"[{""occurrence_id"": ""DDOG-2025-039147"", ""item"": ""Item 1"", ""location"": """", ""snippet"": ""With Database Monitoring, they can quickly pinpoint costly and slow queries and drill into precise execution details to address bottlenecks.""}]",p34,,
active,PODD,2025,Item 1 | Item 7,passage_first,passage,Insulet next-generation insulin automation development milestones,"In 2025, we completed enrollment for EVOLUTION 2, our safety and feasibility stu",?,milestone 應該要更多時間軸過去現在未來，需要多個 evidence 組合,factoid,What milestone did Insulet reach for EVOLUTION 2 in 2025?,One independently sufficient occurrence must state that Insulet completed or finished enrollment for EVOLUTION 2 in 2025.,"This evidence captures named pipeline programs, completed studies, enrollment progress, and a planned pivotal trial, testing retrieval of product-development status across a compact passage.",The prior rewrite still combined the completed 2025 enrollment milestone with a separate planned 2026 study. This revision keeps one factoid intent. Full-filing traversal found two distinct source occurrences that independently state the 2025 EVOLUTION 2 enrollment milestone.,2,"[{""occurrence_id"": ""PODD-2025-024455"", ""item"": ""Item 1"", ""location"": ""Business / Data Management"", ""snippet"": ""In 2025, we completed enrollment for EVOLUTION 2, our safety and feasibility study""}, {""occurrence_id"": ""PODD-2025-140970"", ""item"": ""Item 7"", ""location"": ""Management's Discussion and Analysis / Overview"", ""snippet"": ""In 2025, we also completed STRIVE, our pivotal study for the next generation hybrid closed loop system, and we finished enrollment for EVOLUTION 2""}]",p35,,
active,PODD,2025,Item 1,passage_first,passage,How does Omnipod 5 receive glucose readings and respond?,The Pod integrates with a third-party continuous glucose monitor (“CGM”) to obta,?,"evidence 只回答 receive 沒有回答 response, 這題不是分開的兩件事，但需要多個 evidence 才可以正確回答",passage,How does Omnipod 5 use glucose readings to adjust insulin dosing?,One independently sufficient occurrence must explain how Omnipod 5 uses glucose values to predict future levels and automatically adjust insulin dosing.,"This evidence explains the product-specific sensor connection and predictive algorithm, testing retrieval of how Omnipod 5 automates insulin adjustments.","The original question required both receipt and response, but no 50–200-character occurrence independently answers both. The revision retains the more investor-relevant automated-response mechanism and removes the unsupported Bluetooth-receipt subpart.",1,"[{""occurrence_id"": ""PODD-2025-014411"", ""item"": ""Item 1"", ""location"": ""Business / Diabetes Management Challenges"", ""snippet"": ""The embedded algorithm utilizes these glucose values to predict glucose levels into the future and automatically adjusts insulin dosing""}]",p36,,
active,AMZN,2025,Item 1,passage_first,passage,"How do shoppers reach Amazon offerings, and which electronics does it make?","We also manufacture and sell electronic devices, including Kindle, Fire tablet,",?,題目應該只問單一事，which electronics does it make,passage,Which electronic devices does Amazon manufacture and sell?,One independently sufficient span must identify the electronic devices Amazon states it manufactures and sells; a generic statement that it sells devices is partial.,"This evidence combines Amazon-specific customer access channels with its named device portfolio, testing retrieval across two adjacent substantive facts.",The Round-1 question combined shopping access channels and devices. The revision keeps only the device-list intent.,1,"[{""occurrence_id"": ""AMZN-2025-007599"", ""item"": ""Item 1"", ""location"": ""Consumers"", ""snippet"": ""We also manufacture and sell electronic devices, including Kindle, Fire tablet, Fire TV, Echo, Ring, Blink, and eero""}]",p37,,
