id,question,pass_criterion_1,pass_criterion_2,pass_criterion_3,category,data_sources_needed,expected_answer_type,why_v1_likely_fails,target_version
11,Is NVDA too dependent on just a few major customers? What happens if one of them stops buying?,Must mention the revenue share or concentration figures for the top customers as disclosed in the 10-K,"Must identify the types of customers that are the main buyers, such as hyperscalers or CSPs",Must quantify the potential impact of losing a single customer,concentration_risk,10-K customer concentration disclosure,Risk assessment + data,"Customer-concentration risk is disclosed in the 10-K, and concrete figures are not easy to get from generic search.",v2
12,"I have USD 300,000 and want a diversified tech-stock portfolio. Pick a 3-4 stock mix for me from these 10 names: AAPL MSFT GOOGL AMZN META NVDA TSLA AVGO AMD CRM.",Must recommend a specific 3-4 stock portfolio and propose allocations,"Must explain why the portfolio is diversified, such as growth vs value or different sub-industries",Must use at least two financial indicators to justify why each company was selected,portfolio_construction,P/E + growth + margin + correlation + sector exposure,Portfolio recommendation + reasons,"A reasonable answer requires comparing valuation, growth, risk, and other dimensions across all 10 companies.",v3
13,How well is CRM doing in its AI transformation? Has it shown up in the numbers yet?,"Must mention specific AI products or features from CRM, such as Einstein GPT or Agentforce","Must provide at least one financial trend that reflects transformation progress, such as margin improvement or RPO growth","Must explicitly answer whether the impact has or has not shown up in the numbers, with numeric support",transformation_assessment,10-K strategy + quarterly margin + RPO trend,Strategic assessment + numeric verification,"The AI transformation strategy is in the 10-K, while verification requires SaaS metrics such as margin and RPO trends.",v2+v3
14,Have semiconductor stocks all been going crazy on capacity expansion lately? Which company has the highest capex-to-revenue ratio?,Must compare at least 4 semiconductor companies,Must provide a specific capex-to-revenue percentage for each company,Must produce a ranking or ordering,capex_analysis,Quarterly capex + revenue for multiple companies,Ranking table + trend,This requires ranking capex-to-revenue ratios across multiple semiconductor companies.,v3
15,How fast is AMZN's advertising business growing? Could it become the next AWS?,Must provide recent advertising-segment revenue or YoY growth figures for at least the last 2 quarters,Must compare them with AWS on scale or growth rate,Must mention the margin characteristics of advertising as a high-margin business,segment_growth,10-K segment strategy + quarterly advertising revenue,Growth analysis + potential assessment,This requires 10-K descriptions of advertising strategy plus multi-quarter segment revenue and margin data.,v2+v3
16,"Among these tech giants, whose debt profile is the most worrying?",Must compare at least 5 companies,"Must use at least one debt-related metric with specific figures, such as debt-to-equity, net debt, or interest coverage",Must clearly identify the 1-2 most worrying companies and explain why,financial_health,Balance sheet metrics across companies,Risk ranking + data,This requires comparing debt-to-equity and interest-coverage ratios across multiple companies.,v3
17,Where exactly does TSLA's self-driving technology stand right now? Is what it says in the 10-K very different from what the media says?,Must quote or summarize the official 10-K description of FSD / Autopilot capability,Must point out the gap between 10-K risk disclosures or disclaimers and marketing-style claims,"Must mention the current regulatory autonomy level, such as L2 vs L3+",narrative_vs_reality,10-K technology description + risk disclosures,Official-position analysis,This requires pulling specific FSD-related technical descriptions and risk disclosures from the 10-K.,v2
18,I want tech stocks that are still growing fast but have already started making money. I do not want the ones still burning cash.,Must recommend at least 3 companies,"Each company must include both a revenue growth rate and a profitability indicator, such as net income or FCF","The recommended companies must actually meet the criteria of profitability plus high growth, without obvious errors",screening,Growth + profitability metrics,Screening list + data,"This requires screening simultaneously on revenue growth, positive net income, and positive free cash flow.",v3
19,"MSFT has put so much money into OpenAI. How does that show up in the financial statements, and what are the risks?","Must explain the accounting treatment of MSFT's investment in OpenAI, including how it is recognized on the balance sheet",Must mention the specific amount or magnitude of the investment,"Must mention at least two risks, such as OpenAI losses, competition, or dependence on a single partner",investment_risk,10-K investment notes + risk factors,Accounting explanation + risk analysis,The accounting treatment and risk disclosures for the OpenAI investment are in the 10-K notes and risk factors.,v2
20,"If the AI bubble bursts, which companies still have very stable core businesses? And which ones would get hit the hardest?",Must identify at least 2 companies with high AI dependence and at least 2 with low AI dependence,Must support the classification with specific AI revenue share or segment figures,"Must name at least 1 company for most stable and at least 1 for worst hit, and explain why",scenario_analysis,10-K segment breakdown + margin + revenue diversification,Scenario analysis + ranking,This requires separating AI dependence (v2 from 10-K segment disclosures) from core-business stability (v3 via multiple metrics).,v2+v3
21,AAPL's Services business is becoming a bigger part of revenue. Is that good or bad for investors?,Must provide a recent number for Services as a share of total revenue and describe the trend direction,Must compare Services vs Products gross margin with numbers,Must explicitly answer whether this is good or bad and provide at least two supporting arguments,segment_shift,Segment revenue + margin trend + 10-K strategy,Trend analysis + impact assessment,This requires Services vs Products margin trends (v3) plus 10-K descriptions of Services strategy (v2).,v2+v3
22,"If something goes wrong at TSMC, which of these US tech companies gets hurt the most?",Must compare at least 4 companies,"Must explain why they depend on TSMC, such as fabless structure or need for leading-edge process nodes","Must identify who has alternatives, such as Samsung or Intel Foundry, and who does not",supply_chain_risk,10-K supply chain disclosures across companies,Risk ranking + basis,Supply-chain dependence is disclosed across company 10-K Risk Factors and supplier-related disclosures.,v2
23,"Among these 10 companies, which ones have been buying back a lot of stock recently? And what does that mean?",Must provide recent buyback amounts or scale for at least 5 companies,"Must create a ranking or tiering, such as heavy vs light vs none",Must explain at least one positive and one negative interpretation of buybacks,capital_allocation,Buyback data + market cap + net income,Ranking + interpretation,This requires comparing buyback amounts and their scale relative to market cap or net income across multiple companies.,v3
24,I am a conservative investor and want stable dividend-paying tech stocks. What do you recommend?,Must recommend at least 3 companies,Each company must include a specific dividend-yield figure,"Must mention dividend stability or growth history, such as consecutive years of dividend increases",dividend_screening,Dividend metrics across companies,Recommendation list + data,"This requires screening on dividend yield, payout ratio, and dividend growth history.",v3
25,Which US tech companies are most affected by the EU's Digital Markets Act? And are they worried about it themselves?,"Must list at least 3 affected companies and specify the business areas affected for each, such as App Store, default search, or ad targeting",Must quote or summarize at least one company's specific 10-K risk disclosure related to DMA,Must distinguish between already-implemented compliance measures and potential future risk,regulatory_impact,10-K regulatory risk disclosures across companies,Impact comparison,Each company's DMA risk assessment is scattered across its own 10-K Risk Factors.,v2
26,Can AVGO's acquisition-driven growth model keep working? And has integration actually gone well?,"Must mention at least 2 major acquisitions, such as VMware, CA Technologies, or Symantec",Must mention goodwill as a share or amount of total assets,"Must cite a concrete statement from the 10-K or financial filings about integration effectiveness, such as cost-synergy realization or revenue contribution",acquisition_strategy,10-K acquisition disclosures + goodwill + integration commentary,Strategic assessment,Descriptions of acquisition strategy and integration effectiveness are in 10-K MD&A and goodwill notes.,v2
27,Which company is spending the most on AI-related capex right now? And when are those investments supposed to pay off?,Must provide AI-related capex or total capex figures for at least 4 companies,Must produce a ranking by amount,"Must provide at least one company's concrete statement on when the return is expected, citing company guidance or a 10-K description rather than pure guesswork",ai_investment_roi,CapEx data + 10-K AI investment strategy,Ranking by amount + return analysis,This requires capex comparisons (v3) plus company descriptions of AI investment payback timing from 10-K disclosures (v2).,v2+v3
28,How much data center share has AMD taken from Intel? And is the growth momentum still there?,Must provide recent 2+ quarter revenue or growth figures for AMD's data center segment,Must mention AMD's server CPU market-share figure or trend,Must directly compare it with Intel's corresponding numbers,market_share,10-K competitive positioning + quarterly segment revenue,Market analysis + numeric trend,This requires 10-K market-positioning descriptions (v2) plus multi-quarter data center segment revenue trends (v3).,v2+v3
29,"If the Fed cuts rates next year, what kinds of tech stocks benefit the most? Pick from these 10 names for me.","Must explain the transmission mechanism for why lower rates help tech stocks, such as lower discount rates in DCF or lower borrowing costs",Must recommend at least 2 specific companies,"Must support the picks with at least one financial indicator, such as high debt, high growth, or high duration",macro_sensitivity,Debt + valuation + growth metrics,Analysis + recommendation,"This requires judging rate sensitivity using debt level, growth rate, and valuation.",v3
30,"I want to hold for at least 5 years without touching the position. Which 3 names would you recommend from these 10, and why?",Must recommend exactly 3 companies,"For each company, the justification must cover both qualitative aspects, such as competitive moat or strategic advantage, and quantitative aspects, such as at least one financial indicator","Must explain why these 3 are suitable for long-term holding rather than short-term trading, such as recurring revenue, market dominance, or secular trends",long_term_pick,10-K competitive moat + all financial metrics,Integrated recommendation + full reasoning,This requires broad qualitative analysis (v2 moat + strategy) plus quantitative comparison (v3 growth + valuation + profitability).,v2+v3
