id,question,target_version,category,why_v1_likely_fails,data_sources_needed,expected_answer_type,pass_criteria
11,"NVDA 是不是太依賴少數幾個大客戶了？如果其中一個不買了會怎樣？",v2,concentration_risk,客戶集中度風險描述在 10-K 中且具體數據不易透過一般搜尋取得,10-K customer concentration disclosure,風險評估+數據,"(1) 必須提到 10-K 揭露的前幾大客戶營收佔比或集中度數據 (2) 必須指出具體哪些類型的客戶是主要買家（hyperscaler、CSP 等） (3) 必須量化單一客戶流失的潛在影響"
12,"我手上有 30 萬美金想分散投資科技股，幫我從這 10 家裡挑 3-4 家組合（AAPL MSFT GOOGL AMZN META NVDA TSLA AVGO AMD CRM）",v3,portfolio_construction,需要估值+成長+風險等多維指標同時比較 10 家公司才能合理建議,P/E + growth + margin + correlation + sector exposure,投資組合建議+理由,"(1) 必須推薦具體 3-4 家公司並建議配比 (2) 必須解釋為什麼這個組合是「分散」的（如 growth vs value、不同子產業等） (3) 必須用至少兩個財務指標佐證每家公司被選入的理由"
13,"CRM 轉型做 AI 做得怎麼樣？有反映在財務數字上嗎？",v2+v3,transformation_assessment,AI 轉型策略在 10-K 中 + 需要 margin 和 RPO 等 SaaS 指標趨勢,10-K strategy + quarterly margin + RPO trend,策略評估+數據驗證,"(1) 必須提到 CRM 具體的 AI 產品或功能（如 Einstein GPT / Agentforce） (2) 必須提供至少一個反映 AI 轉型成效的財務指標趨勢（如 margin 改善、RPO 成長等） (3) 必須明確回答「有」或「尚未」反映在數字上，附數據佐證"
14,"最近半導體股是不是都在瘋狂擴產？誰的資本支出佔營收比最高？",v3,capex_analysis,需要多家半導體公司的 CapEx/Revenue ratio 並排名,quarterly CapEx + revenue for multiple companies,排名表+趨勢,"(1) 必須涵蓋至少 4 家半導體公司的比較 (2) 必須提供每家的 CapEx/Revenue 具體百分比 (3) 必須做出排名或排序"
15,"AMZN 的廣告業務成長得怎麼樣？有機會變成第二個 AWS 嗎？",v2+v3,segment_growth,需要 10-K 中對 advertising 策略的描述 + 多季 segment revenue 和 margin 數據,10-K segment strategy + quarterly advertising revenue,成長分析+潛力評估,"(1) 必須提供 advertising segment 近 2+ 季的 revenue 或 YoY growth 數字 (2) 必須與 AWS 的同期數據做規模或成長率對比 (3) 必須提到 advertising 的利潤率特性（高 margin 業務）"
16,"這些科技巨頭裡，誰的負債最讓人擔心？",v3,financial_health,需要多家公司的 debt-to-equity 和 interest coverage ratio 比較,balance sheet metrics across companies,風險排名+數據,"(1) 必須涵蓋至少 5 家公司的比較 (2) 必須用至少一個負債相關指標的具體數字（debt-to-equity、net debt、interest coverage 等） (3) 必須明確指出「最擔心」的 1-2 家並解釋為什麼"
17,"TSLA 的自動駕駛技術到底到什麼程度了？10-K 裡面自己怎麼說的跟媒體報導差很多嗎？",v2,narrative_vs_reality,需要從 10-K 中提取 FSD 相關的具體技術描述和風險揭露,10-K technology description + risk disclosures,官方說法分析,"(1) 必須引用或摘要 10-K 中對 FSD/Autopilot 能力的官方描述 (2) 必須指出 10-K 中的風險揭露或 disclaimer 與行銷說法的落差 (3) 必須提到目前 FSD 的監管分級（L2 vs L3+ 等）"
18,"我想找還在高速成長但已經開始獲利的科技股，不要那種還在燒錢的",v3,screening,需要同時篩選 revenue growth rate + positive net income + positive FCF,growth + profitability metrics,篩選清單+數據,"(1) 必須推薦至少 3 家公司 (2) 每家必須同時提供 revenue growth rate 和 profitability 指標（net income 或 FCF）的具體數字 (3) 推薦的公司必須確實符合條件（正獲利+高成長），不能有明顯錯誤"
19,"MSFT 投了那麼多錢在 OpenAI 上面，這個投資在財報上怎麼呈現的？風險在哪？",v2,investment_risk,OpenAI 投資的會計處理和風險揭露在 10-K 的 notes 和 risk factors 中,10-K investment notes + risk factors,會計說明+風險分析,"(1) 必須說明 MSFT 對 OpenAI 投資的會計處理方式（如何認列在 balance sheet） (2) 必須提到投資的具體金額或量級 (3) 必須提到至少兩個風險（如 OpenAI 虧損、競爭、依賴單一合作夥伴等）"
20,"如果 AI 泡沫破裂，哪些公司的本業還是很穩？哪些會最慘？",v2+v3,scenario_analysis,需要區分 AI 依賴度(v2 from 10-K segment) + 基本面穩定性(v3 多指標),10-K segment breakdown + margin + revenue diversification,情境分析+排名,"(1) 必須區分「AI 依賴度高」和「AI 依賴度低」的公司各至少 2 家 (2) 必須用具體的 AI revenue 佔比或 segment 數據佐證分類 (3) 必須對「最穩」和「最慘」各給出至少 1 家具體公司並解釋理由"
21,"AAPL 的 Services 業務佔比越來越高，這對投資人是好事還是壞事？",v2+v3,segment_shift,需要 Services margin vs Products margin 趨勢(v3) + 10-K 對 Services 策略的描述(v2),segment revenue + margin trend + 10-K strategy,趨勢分析+影響評估,"(1) 必須提供 Services revenue 佔總營收比例的近期數字及趨勢方向 (2) 必須比較 Services vs Products 的 gross margin 差異（帶數字） (3) 必須明確回答「好事」還是「壞事」並給出至少兩個支撐論點"
22,"台積電如果出問題，這些美國科技公司裡誰受傷最重？",v2,supply_chain_risk,供應鏈依賴度資訊在各公司 10-K 的 Risk Factors 和供應商揭露中,10-K supply chain disclosures across companies,風險排名+依據,"(1) 必須涵蓋至少 4 家公司的比較 (2) 必須說明依賴台積電的原因（fabless 架構、先進製程需求等） (3) 必須指出誰有替代方案（如 Samsung、Intel Foundry）以及誰沒有"
23,"這 10 家公司裡，哪些最近有在大量回購自家股票？這代表什麼？",v3,capital_allocation,需要多家公司的 buyback 金額和相對於市值/淨利的比例,buyback data + market cap + net income,排名+解讀,"(1) 必須提供至少 5 家公司的近期 buyback 金額或規模 (2) 必須做出排名或分層（大量 vs 少量 vs 無） (3) 必須解釋 buyback 的正面和負面解讀各至少一點"
24,"我是保守型投資人，想要穩定配息的科技股，有什麼推薦？",v3,dividend_screening,需要篩選 dividend yield + payout ratio + dividend growth history,dividend metrics across companies,推薦清單+數據,"(1) 必須推薦至少 3 家公司 (2) 每家必須提供 dividend yield 的具體數字 (3) 必須提到配息的穩定性或成長歷史（如連續幾年增加配息）"
25,"歐盟的 Digital Markets Act 對哪些美國科技公司影響最大？他們自己擔不擔心？",v2,regulatory_impact,各公司對 DMA 的風險評估散落在各自 10-K Risk Factors 中,10-K regulatory risk disclosures across companies,影響比較,"(1) 必須列出至少 3 家受影響公司及各自受影響的業務面（如 App Store、Search default、ad targeting） (2) 必須引用或摘要至少一家公司 10-K 中對 DMA 的具體風險揭露 (3) 必須區分已執行的合規措施 vs 潛在未來風險"
26,"AVGO 靠收購長大的模式可以持續嗎？整合得好不好？",v2,acquisition_strategy,收購策略和整合成效描述在 10-K MD&A 和 goodwill notes 中,10-K acquisition disclosures + goodwill + integration commentary,策略評估,"(1) 必須提到至少 2 個重大收購案（如 VMware、CA Technologies、Symantec） (2) 必須提到 goodwill 佔總資產的比例或金額 (3) 必須引用 10-K 或財報中對整合成效的具體說明（如 cost synergy 達成率、revenue 貢獻）"
27,"現在 AI 相關的資本支出哪家砸最多錢？這些投資什麼時候才能看到回報？",v2+v3,ai_investment_roi,需要 CapEx 數據比較(v3) + 各公司 10-K 中對 AI 投資回報時程的描述(v2),CapEx data + 10-K AI investment strategy,數據排名+回報分析,"(1) 必須提供至少 4 家公司的 AI 相關 CapEx 數字或總 CapEx 數字 (2) 必須做出金額排名 (3) 必須對「何時回報」給出至少一家公司的具體說法（引用公司 guidance 或 10-K 描述，而非純猜測）"
28,"AMD 在 data center 市場搶了多少 Intel 的份額？成長動能還在嗎？",v2+v3,market_share,需要 10-K 中的市場定位描述(v2) + data center segment 多季收入趨勢(v3),10-K competitive positioning + quarterly segment revenue,市場分析+數據趨勢,"(1) 必須提供 AMD data center segment 近 2+ 季的 revenue 或 growth 數字 (2) 必須提到 AMD 在 server CPU 的市佔率數字或趨勢 (3) 必須與 Intel 的對應數據做直接比較"
29,"如果聯準會明年降息，哪類科技股最受惠？幫我從這 10 家裡挑",v3,macro_sensitivity,需要用 debt level + growth rate + valuation 來判斷利率敏感度,debt + valuation + growth metrics,分析+推薦,"(1) 必須解釋降息利好科技股的傳導機制（如 DCF 折現率下降、借貸成本降低等） (2) 必須推薦至少 2 家具體公司 (3) 必須用至少一個財務指標佐證為何這些公司特別受惠（如高 debt、高 growth、高 duration）"
30,"我想長期持有 5 年以上不動，這 10 家裡你會推薦哪 3 家？為什麼？",v2+v3,long_term_pick,需要全面的質性分析(v2 moat + strategy) + 量化比較(v3 growth + valuation + profitability),10-K competitive moat + all financial metrics,綜合推薦+完整理由,"(1) 必須推薦恰好 3 家公司 (2) 每家必須涵蓋質性面（competitive moat 或策略優勢）和量化面（至少一個財務指標）的雙重論證 (3) 必須說明為什麼這 3 家適合「長期持有」而非短期交易（如 recurring revenue、market dominance、secular trend 等）"
