id,question,target_version,category,why_v1_likely_fails,data_sources_needed,expected_answer_type,pass_criteria,tool_bucket,flags
11,"In Apple's latest 10-K Item 1A Risk Factors, what major operational risks are listed?",v1,sec_section_lookup,"V1 should pass cleanly; the question explicitly names Item 1A, so section_key maps directly to ""1a""; only risk is V1 skipping list_sections and calling get_section directly (also acceptable)",SEC 10-K Item 1A Risk Factors,Risk list,"(1) Must list at least 4 specific risk categories (2) Each must have a 10-K excerpt or quote as support (3) Must be specific (e.g., ""China market dependency"", ""litigation risk"") — not generic (e.g., ""market risk"")",3,[]
12,How does Nvidia's latest 10-K describe its main product lines and business model?,v1,sec_section_lookup,Question doesn't name the section — V1 must infer → Item 1 (Business); may wrongly infer Item 7 (MD&A) or Item 1A; should ideally call list_sections first,SEC 10-K Item 1 Business,Product line + business model description,"(1) Must list Nvidia's main product segments (Data Center, Gaming, Pro Vis, Auto, etc.) (2) Must describe the business model (fabless, customer types, etc.) (3) Content must originate from Item 1 Business (verifiable against the 10-K source)",3,"[""arg:sec_section_specificity""]"
13,"In Tesla's latest annual report, how does the company explain last year's revenue growth? What were the key drivers?",v1,sec_section_lookup,Must infer → Item 7 (MD&A); common failure is going to Item 1 Business or Item 8 Financial Statements,SEC 10-K Item 7 MD&A,Revenue growth analysis + drivers,"(1) Must quote the company's own explanation of revenue growth from 10-K MD&A (2) Must mention at least 2 growth drivers (vehicle deliveries, ASP, energy, etc.) (3) Answer must originate from MD&A — cannot substitute news",3,"[""arg:sec_section_specificity""]"
14,What major ongoing lawsuits does Google disclose in its recent annual report?,v1,sec_section_lookup,Must infer → Item 3 (Legal Proceedings); may wrongly infer Item 1A,SEC 10-K Item 3 Legal Proceedings,Lawsuit list + description,"(1) Must list at least 2 specific lawsuits (DOJ antitrust, EU cases, etc.) (2) Each must include plaintiff and allegation (3) Content must originate from Item 3 Legal Proceedings",3,"[""arg:sec_section_specificity""]"
15,How does Microsoft's latest annual report describe its cybersecurity risk management and governance?,v1,sec_section_lookup,"Must infer → Item 1c (Cybersecurity); SEC made this section mandatory only from FY 2023, and Microsoft's latest 10-K should include it; V1 must pick section_key=""1c"" correctly",SEC 10-K Item 1C Cybersecurity,Cybersecurity risk management description,"(1) Must mention Microsoft's cybersecurity risk management process or governance structure (2) Must mention at least one specific cybersec role (e.g., CISO or committee) (3) Content must originate from Item 1C (not generic talk)",3,"[""arg:sec_section_specificity""]"
16,Does Amazon's latest 10-K disclose anything about supplier concentration or key-supplier risk?,v1,sec_section_lookup,"Could be in Item 1A Risk Factors or Item 1 Business; V1 should call list_sections first, or fetch both sections",SEC 10-K Item 1A and/or Item 1,Supplier risk disclosure summary,"(1) Must state whether Amazon discloses this risk (""yes"" or ""no"") (2) If yes, must quote a specific 10-K passage (3) Must describe the nature of the risk (e.g., concentration on certain critical components)",3,"[""arg:sec_section_specificity"",""arg:sec_discovery_first""]"
17,Is Nvidia's stock up or down today? Any recent news that could explain the move?,v1,quote_news_combo,V1 must chain yfinance_stock_quote (currentPrice + 52w comparison) + tavily news; query must be English,yfinance currentPrice + Tavily recent news,Price direction + news explanation,"(1) Must provide the current currentPrice number (2) Must cite at least 1 specific news item as explanation (3) Must make a directional judgment ""up"" or ""down""",4,"[""arg:tavily_query_quality""]"
18,How far has Tesla fallen from its 52-week high? Any recent negative news?,v1,quote_news_combo,"Must compute (52w high - current) / 52w high; query must include ""negative news"" or specific event terms",yfinance currentPrice + 52w high + Tavily negative news,Drawdown percentage + news list,(1) Must compute or explicitly state the drawdown percentage from 52w high (2) Must list at least 1 specific negative news item (3) Each news item must include source URL,4,"[""arg:tavily_query_quality""]"
19,Whose forward PE is higher right now — Apple's or Microsoft's? Any big news on the Apple side lately?,v1,quote_news_combo,Must chain yfinance × 2 + tavily × 1 — exactly 3 calls hitting max_tool_calls_per_step cap; answer benefits from a markdown comparison table,yfinance forwardPE × 2 + Tavily Apple news,PE comparison + Apple news,(1) Must give specific forward PE numbers for Apple and Microsoft and make a comparison (2) Must list at least 1 specific Apple news item (3) PE comparison must be presented as a table or clearly aligned side-by-side,4,"[""format:table""]"
20,What's Broadcom's current dividend yield? Any dividend-policy-related news or announcements recently?,v1,quote_news_combo,"dividendYield requires fields discovery first; news query must include ""dividend"" rather than generic Broadcom news",yfinance dividendYield + Tavily dividend news,Dividend metric + policy news,(1) Must provide a specific dividend yield number (2) Must mention at least 1 dividend-related news item or announcement (3) Must include source URL,4,"[""arg:yfinance_fields_discovery"",""arg:tavily_query_quality""]"
21,Apple was recently fined by the EU under the DMA. Did Apple pre-disclose this type of regulatory risk in its latest annual report?,v1,news_sec_combo,Must chain Tavily for DMA fine news + SEC Item 1A for EU/regulatory risk disclosure; section selection must map to Risk Factors,Tavily DMA news + SEC 10-K Item 1A,News + disclosure cross-reference,"(1) Must state the DMA fine's specific amount or date (2) Must quote relevant EU/regulatory risk description from Apple's 10-K Item 1A (3) Must make an explicit judgment on ""sufficient disclosure or not""",5,"[""arg:tavily_query_quality"",""arg:sec_section_specificity""]"
22,Any new developments in the Google DOJ antitrust case? Cross-reference the 10-K's description of this type of litigation risk — is the disclosure sufficient?,v1,news_sec_combo,Must chain Tavily for DOJ case progress + SEC Item 3 Legal + Item 1A; multiple sections — requires list_sections exploration or fetching multiple sections,Tavily DOJ news + SEC 10-K Item 3 Legal + Item 1A,News progress + disclosure evaluation,"(1) Must mention at least 1 specific recent development in the DOJ case (ruling, hearing, stage) (2) Must quote the 10-K description of the case (Item 3 or Item 1A) (3) Must make an explicit judgment on ""disclosure sufficiency""",5,"[""arg:tavily_query_quality"",""arg:sec_section_specificity"",""arg:sec_discovery_first""]"
23,Are Nvidia's comments on China export restrictions from the most recent earnings call consistent with what's described in the 10-K Risk Factors?,v1,news_sec_combo,Tavily for earnings call summary + SEC Item 1A; requires differential comparison,Tavily earnings call news + SEC 10-K Item 1A,Consistency cross-reference,"(1) Must include at least 1 specific earnings-call statement about China restrictions (2) Must quote the corresponding risk description from 10-K Item 1A (3) Must make an explicit ""consistent or inconsistent"" judgment with supporting evidence",5,"[""arg:tavily_query_quality"",""arg:sec_section_specificity""]"
24,Is there a big gap between Tesla's recent FSD progress news and the official 10-K description of their autonomous driving technology?,v1,news_sec_combo,Tavily for FSD news + SEC Item 1 Business or Item 1A; needs to distinguish marketing claims from disclosed disclaimers,Tavily FSD news + SEC 10-K Item 1 / 1A,Cross-reference analysis,(1) Must quote at least 1 news statement about FSD (2) Must quote the official FSD/Autopilot description from the 10-K (including disclaimers) (3) Must make an explicit judgment on gap size with specific differences cited,5,"[""arg:tavily_query_quality"",""arg:sec_section_specificity"",""arg:sec_discovery_first""]"
25,What is Nvidia's current market cap as a multiple of the annual revenue disclosed in its latest 10-K?,v1,quote_sec_combo,marketCap requires fields discovery; revenue must be extracted from 10-K Item 8 (Financial Statements) or Item 7 (MD&A); V1 may not know which section contains revenue,yfinance marketCap + SEC 10-K Item 8 financial statements,P/S ratio calculation,(1) Must provide a specific marketCap number (2) Must quote a specific annual revenue number from the 10-K (3) Must calculate and report market cap / revenue multiple,6,"[""arg:yfinance_fields_discovery"",""arg:sec_section_specificity""]"
26,What are Apple's current forward PE and trailing PE? Does the latest 10-K's description of services revenue growth support the current valuation?,v1,quote_sec_combo,PE is in the default 5 fields — no discovery needed; services revenue description must come from Item 7 MD&A or Item 1,yfinance PE + SEC 10-K Item 7 MD&A,Valuation reasonableness analysis,"(1) Must provide specific forward + trailing PE numbers (2) Must quote the 10-K description of services revenue growth (3) Must make an explicit judgment on ""valuation reasonable or not"" and connect it to services growth",6,"[""arg:sec_section_specificity""]"
27,"Compare the forward PE of Microsoft and Google, then look at how each describes its AI investment in the latest 10-K. Does the valuation reflect the AI investment?",v1,quote_sec_combo,4 tool calls (yfinance × 2 + sec × 2) approaching max_tool_calls_per_step cap; AI investment description may live in Item 1 Business or Item 7 MD&A — section selection is hard,yfinance PE × 2 + SEC 10-K AI strategy section × 2,Cross-reference + valuation judgment,"(1) Must give specific forward PE numbers for Microsoft and Google and compare (2) Must quote each company's specific 10-K description of AI investment (3) Must make an explicit judgment on ""whether valuation reflects AI investment""",6,"[""format:table"",""arg:sec_section_specificity""]"
28,"What is Amazon's current P/S ratio? Given the 10-K's strategic description of the AWS segment, is this multiple reasonable?",v1,quote_sec_combo,priceToSales is not in the default fields — requires fields discovery; AWS strategy description lives in Item 1 Business or Item 7 MD&A,yfinance priceToSales + SEC 10-K AWS section,Multiple reasonableness analysis,"(1) Must provide a specific P/S ratio number (2) Must quote the 10-K description of AWS segment strategy or growth (3) Must make an explicit ""reasonable or unreasonable"" judgment with reasoning",6,"[""arg:yfinance_fields_discovery"",""arg:sec_section_specificity""]"
29,What was Apple's services revenue last quarter (Q3)? How much did it grow versus the same quarter last year?,v3,failure_probe_quarterly,"V1's SEC tool only supports 10-K — no 10-Q, no SQL, no historical time-series; observe whether V1 (a) honestly says 'no quarterly data' (b) uses 10-K annual numbers as quarterly (c) hallucinates numbers",10-Q quarterly segment financials (V1 lacks),Failure mode assessment,"(1) V1 must honestly state ""I can only query 10-K annual filings and cannot provide quarterly data"" rather than force an answer (2) Must not pass off 10-K annual numbers as quarterly numbers (3) Must not hallucinate any specific Q3 numbers",7,"[""failure_probe""]"
30,"Rank Apple, Microsoft, Google, Amazon, and Meta by forward PE — which is cheapest? Also include each company's recent major news.",v3,failure_probe_multitool,"5 quotes + 5 news = 10 tool calls; max_tool_calls_per_step=3 will cap; observe whether V1 (a) iterates over multiple steps (b) only queries 3 companies and ranks (c) falls back to PE only, dropping news",yfinance × 5 + Tavily × 5,Ranking table + news,"(1) Must cover all 5 companies' forward PE with ranking (2) Must include at least 1 specific news item per company (3) Must be presented as a markdown table for easy comparison; if unable to complete in a single pass, must explicitly say so",7,"[""format:table"",""failure_probe""]"
