id,question,company_universe,category,expected_answer_type,time_sensitivity,question_style,capability_band,expected_near_v1_behavior,primary_failure_mechanism,secondary_failure_mechanism,expected_best_source,likely_tuning_lever,why_near_v1_might_fail_or_pass,draft_pass_signals
11,"Walmart 自己怎麼定位 e-commerce 跟 advertising 的長期角色？","WMT","official_stance_or_management_view","官方立場摘要","stable","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","SEC","none","這題主要看 near-V1 會不會直接去抓 company stance，而不是只講市場觀點；SEC 應足以支撐高層次摘要。","[""明確摘要管理層官方定位"",""同時涵蓋 e-commerce 與 advertising 的角色"",""不要只給外部評論""]"
12,"分析 Exxon 官方怎麼描述能源轉型風險，以及這和 shareholder return 的平衡。","XOM","official_stance_or_management_view","官方策略定位+取捨說明","stable","analysis","core","should_pass","tool_routing_error","evidence_synthesis_limit","SEC","none","題面已明示要 company stance；near-V1 應能用官方揭露回答，不需要過度延伸到外部政策推論。","[""說清官方如何描述轉型風險"",""說清 shareholder return 與投資取捨的關係"",""結論以公司揭露為主""]"
13,"分析 Visa 跟 Mastercard 的官方揭露，有沒有直接支持「監管會壓縮 network economics」這個說法。","V|MA","official_stance_or_management_view","官方揭露驗證+證據邊界說明","recent","analysis","boundary","should_fail_cleanly","overreach_vs_abstain","tool_routing_error","SEC","prompt","這題故意要求從官方揭露找直接支持，如果 SEC 沒有足夠直接的語句，near-V1 正確行為是說明不能下過滿結論。","[""先回答官方揭露是否直接支持該說法"",""沒有直接證據就要保留"",""不能把外部監管敘事說成公司已承認事實""]"
14,"Costco 會員費是不是快要調了？管理層有真的把 timing 講明嗎？","COST","official_stance_or_management_view","管理層表述查核+市場揣測過濾","stable","natural","boundary","should_fail_cleanly","overreach_vs_abstain","tool_routing_error","SEC","prompt","這題專打 official disclosure evidence gap；near-V1 很容易把市場上對 membership fee 的期待，誤講成管理層已明講。","[""區分管理層明講與市場揣測"",""若無明確 timing 要直接說"",""不能把推測包裝成已確認結論""]"
15,"Costco 真正的賺錢核心到底是什麼？會員費的重要性有多高？","COST","business_model_or_segment_quality","商業模式拆解","stable","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","SEC","none","這題應是 near-V1 的舒適圈，因為單公司、穩定題、官方揭露明確；主要看能否抓對 source 並講清 business model。","[""說清 Costco 的賺錢核心"",""點出 membership fee 的角色"",""不要只用便宜或人流這種泛泛描述""]"
16,"Visa 為什麼常被看成比傳統放款銀行更穩的生意？","V","business_model_or_segment_quality","商業模式比較式解釋","stable","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","SEC","none","這題看 near-V1 能否把 network business 與 lender business 的結構差異講清楚，而不是只說品牌強。","[""說清 network 與 lending 的核心差異"",""把穩定性的來源講成商業模式而不是印象"",""結論要跟公司業務結構連起來""]"
17,"分析 Amazon advertising 現在算不算已經是高品質獲利引擎。","AMZN","business_model_or_segment_quality","分部品質評估","stable","analysis","boundary","may_pass_with_tuning","evidence_synthesis_limit","tool_routing_error","mixed","max_tool_calls","這題需要把官方分部描述和市場常見敘事接起來；near-V1 容易只重述 advertising 成長，沒有回答是否已經是高品質獲利引擎。","[""給出是否成立的明確結論"",""說明 advertising 在 Amazon 整體 business mix 的位置"",""對無法直接驗證的獲利品質要保留""]"
18,"如果只看 pricing power 跟 segment quality，Coca-Cola 跟 Pepsi 哪家的結構比較乾淨？","KO|PEP","business_model_or_segment_quality","雙公司結構品質比較","stable","natural","boundary","may_pass_with_tuning","evidence_synthesis_limit","multi_entity_overload","SEC","max_tool_calls","這題屬於 near-V1 的邊界：雙公司、同產業、比較維度明確，但需要做相對排序而不是各講各的。","[""至少比較 pricing power 與 segment quality 兩個面向"",""給出相對判斷"",""不能只靠品牌印象做結論""]"
19,"Berkshire Hathaway 現在的財務體質看起來算保守嗎？","BRK.B","capital_allocation_or_financial_quality","財務體質判讀","stable","natural","core","should_pass","tool_routing_error","overreach_vs_abstain","yfinance","none","這題應該可以用現有 yfinance 指標做出保守判斷；重點不是追求完美全面，而是不要脫離工具能見度亂補資料。","[""至少用一到兩個具體財務指標支撐判斷"",""給出是否偏保守的清楚結論"",""不要硬延伸到工具拿不到的細節""]"
20,"Coca-Cola 現在還算是穩定配息的那種公司嗎？","KO","capital_allocation_or_financial_quality","配息穩定性+財務支撐判讀","stable","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","yfinance","none","這題看 near-V1 能否用可得的配息與現金流相關欄位，做出簡潔但 grounded 的判斷。","[""至少提到股息或現金流相關數據"",""回答是否仍屬穩定配息公司"",""不要只用 defensive 印象代替分析""]"
21,"分析 Walmart 跟 Costco 的現金流品質與 capital allocation 韌性，哪家比較穩。","WMT|COST","capital_allocation_or_financial_quality","雙公司財務品質比較","stable","analysis","boundary","may_pass_with_tuning","evidence_synthesis_limit","tool_routing_error","mixed","max_tool_calls","這題需要把財務品質和 capital allocation 放在同一個比較框架裡；near-V1 容易只講一邊或只講單一指標。","[""比較兩家現金流品質或資本配置韌性"",""給出相對更穩的判斷"",""至少說明比較依據是哪些指標或結構因素""]"
22,"XOM、CVX、COP 裡面，誰最有餘裕同時維持配息、回購，又不把財務風險拉太高？","XOM|CVX|COP","capital_allocation_or_financial_quality","三家公司資本回饋與財務風險比較","stable","natural","beyond_boundary","may_pass_with_tuning","multi_entity_overload","evidence_synthesis_limit","yfinance","max_tool_calls","這題故意把三家能源股放進同一個 capital allocation 問題，觀察 near-V1 在多公司比較時是否還能維持相對清楚的排序。","[""涵蓋三家公司而不是只挑一兩家講"",""比較資本回饋與財務風險兩個面向"",""對缺乏直接數據的細節要保留""]"
23,"Eli Lilly 現在是貴得有道理，還是市場已經把太多好消息先算進去了？","LLY","valuation_or_expectation_sanity_check","估值與預期合理性判斷","stable","natural","boundary","may_pass_with_tuning","overreach_vs_abstain","evidence_synthesis_limit","yfinance","prompt","這題看 near-V1 能否把估值與成長敘事連起來，但同時保持邊界，不把主觀投資建議講得過滿。","[""至少用估值與成長兩類訊號支撐判斷"",""給出貴得合理或過度 price in 的結論"",""不能把未來敘事當成確定事實""]"
24,"分析 Eli Lilly 和 Novo Nordisk，哪一邊比較像 priced for perfection。","LLY|NVO","valuation_or_expectation_sanity_check","雙公司估值期待比較","stable","analysis","boundary","may_pass_with_tuning","evidence_synthesis_limit","multi_entity_overload","yfinance","max_tool_calls","這題是典型 near-V1 邊界題：雙公司、跨市場敘事、需要把估值與成長並列比較。","[""至少比較兩個估值或成長相關指標"",""給出誰更像 priced for perfection 的相對判斷"",""說明這只是 expectation sanity check 而非完整投資建議""]"
25,"現在看 Disney 跟 Netflix，哪一邊的市場期待比較沒那麼滿？","DIS|NFLX","valuation_or_expectation_sanity_check","相對期待值判斷","recent","natural","boundary","may_pass_with_tuning","source_coverage_gap","evidence_synthesis_limit","mixed","tavily_sources","這題混合近期敘事與 expectation judgement；near-V1 容易被新聞聲量帶偏，沒有把市場期待和可確認事實分開。","[""比較兩家的近期敘事與市場期待"",""給出誰的期待較沒那麼滿的判斷"",""對證據不夠直接的部分要保留""]"
26,"分析 NVDA、LLY、COST 這幾種高品質贏家裡，誰最容易先被 expectation reset 打到。","NVDA|LLY|COST","valuation_or_expectation_sanity_check","跨產業 expectation reset 風險比較","stable","analysis","beyond_boundary","may_pass_with_tuning","multi_entity_overload","evidence_synthesis_limit","mixed","max_tool_calls","這題故意跨產業比較，near-V1 很容易把不可直接比較的東西硬排出絕對順序；正確行為應該是有比較，也有保留。","[""涵蓋三家公司而不是只講單一例子"",""說明 expectation reset 風險的比較邏輯"",""對跨產業不可直接比的部分要保留""]"
27,"大家都說 JPM 是大型銀行裡比較穩的那家，這說法現在還站得住嗎？","JPM","comparative_judgment_or_relative_resilience","相對穩定性驗證","stable","natural","boundary","may_pass_with_tuning","evidence_synthesis_limit","tool_routing_error","mixed","prompt","這題雖然是單公司，但本質上是在驗證相對敘事；near-V1 容易只重述市場印象，沒有把穩定性的依據講清楚。","[""不能只重述市場印象"",""至少連到 business mix、capital 或近期風險中的兩項"",""給出這個說法是否仍站得住的判斷""]"
28,"Nike 最近真的算先回穩了嗎，還是現在這樣講還太早？","NKE","comparative_judgment_or_relative_resilience","近期回穩訊號判斷","recent","natural","boundary","may_pass_with_tuning","source_coverage_gap","overreach_vs_abstain","Tavily","tavily_sources","這題專門測 recent-news diagnosis：如果 trusted domains 的訊號仍不足，near-V1 應該承認現在還不能下 turnaround 結論。","[""以近期可確認訊號判斷是否回穩"",""區分初步改善與已確認 turnaround"",""證據不足時不能硬下結論""]"
29,"分析 Boeing 和 Airbus 在目前供應鏈與監管壓力下，哪一邊比較能穿越這一段 turbulence。","BA|Airbus","comparative_judgment_or_relative_resilience","雙公司韌性比較","recent","analysis","beyond_boundary","may_pass_with_tuning","multi_entity_overload","source_coverage_gap","mixed","max_tool_calls","這題把近期監管、供應鏈與相對韌性綁在一起，觀察 near-V1 是否會在 mixed-source + 雙公司比較中失去判準。","[""比較兩家公司面對供應鏈與監管壓力的差異"",""給出哪一邊較有機會撐過 turbulence 的判斷"",""對證據不足的比較點要保留""]"
30,"如果只是 mild recession，Walmart、Costco、McDonald's 誰最有相對韌性？","WMT|COST|MCD","comparative_judgment_or_relative_resilience","三家公司相對韌性比較","stable","natural","beyond_boundary","may_pass_with_tuning","multi_entity_overload","evidence_synthesis_limit","mixed","max_tool_calls","這題是刻意保留的 3+ 公司壓力測試；near-V1 應該做出相對比較，但也知道在哪裡停手，不把跨商業模式差異講得過於確定。","[""涵蓋三家公司各自的韌性來源"",""給出相對韌性判斷"",""對跨商業模式不可直接比較之處要保留""]"
