id,question,company_universe,category,expected_answer_type,time_sensitivity,question_style,capability_band,expected_near_v1_behavior,primary_failure_mechanism,secondary_failure_mechanism,expected_best_source,likely_tuning_lever,why_near_v1_might_fail_or_pass,draft_pass_signals
11,"How does Walmart itself frame the long-term role of its e-commerce and advertising businesses?","Walmart","official_stance_or_management_view","Official stance summary","stable","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","SEC","none","This mainly tests whether near-V1 goes directly to the company's own stated position rather than defaulting to market commentary. SEC materials should be enough for a high-level summary.","[""Summarize management's official framing clearly"",""Cover both e-commerce and advertising"",""Do not answer with outside commentary only""]"
12,"Analyze how Exxon officially describes energy-transition risk and how that is balanced against shareholder returns.","Exxon","official_stance_or_management_view","Official strategy positioning + trade-off explanation","stable","analysis","core","should_pass","tool_routing_error","evidence_synthesis_limit","SEC","none","The question explicitly asks for the company's own stance. Near-V1 should be able to answer from official disclosures without drifting into external policy speculation.","[""Explain how management describes transition risk"",""Explain the relationship between shareholder returns and investment trade-offs"",""Keep the conclusion grounded in company disclosures""]"
13,"Analyze whether Visa's and Mastercard's official disclosures directly support the claim that regulation will compress the profitability of the card-network business.","Visa|Mastercard","official_stance_or_management_view","Official disclosure validation + evidence-boundary explanation","recent","analysis","boundary","should_fail_cleanly","overreach_vs_abstain","tool_routing_error","SEC","prompt","This intentionally asks the model to find direct support in official disclosures. If SEC materials do not contain language strong enough to support the claim, the correct near-V1 behavior is to say the conclusion cannot be pushed too far.","[""Answer first whether official disclosures directly support the claim"",""Preserve uncertainty if there is no direct evidence"",""Do not turn outside regulatory narratives into company-admitted facts""]"
14,"Is Costco about to raise its membership fee, and did management actually state the timing clearly?","Costco","official_stance_or_management_view","Management statement check + market-speculation filtering","stable","natural","boundary","should_fail_cleanly","overreach_vs_abstain","tool_routing_error","SEC","prompt","This directly targets an official-disclosure evidence gap. Near-V1 can easily turn market expectations about membership fees into something management clearly stated, even when it did not.","[""Distinguish between what management explicitly said and what the market is speculating"",""Say so directly if there is no clear timing"",""Do not package speculation as a confirmed conclusion""]"
15,"What is Costco's real profit engine, and how important is the membership fee?","Costco","business_model_or_segment_quality","Business model breakdown","stable","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","SEC","none","This should be within near-V1's comfort zone because it is a single-company, stable question with clear official disclosure support. The main test is whether it chooses the right source and explains the business model clearly.","[""Explain Costco's true profit engine"",""Point out the role of the membership fee"",""Do not answer with generic descriptions like cheap prices or heavy foot traffic""]"
16,"Why is Visa often viewed as a more stable business than a traditional lending bank?","Visa","business_model_or_segment_quality","Business model comparison-style explanation","stable","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","SEC","none","This tests whether near-V1 can explain the structural difference between the card-network model and the lending model, rather than just saying the brand is strong.","[""Explain the core difference between the network model and lending"",""Attribute stability to business structure rather than reputation"",""Tie the conclusion back to the company's business structure""]"
17,"Analyze whether Amazon's advertising business should already be considered a high-quality profit engine.","Amazon","business_model_or_segment_quality","Segment quality assessment","stable","analysis","boundary","may_pass_with_tuning","evidence_synthesis_limit","tool_routing_error","mixed","max_tool_calls","This requires connecting official segment descriptions with common market narratives. Near-V1 may only restate ad-growth momentum and fail to answer whether the business has already become a high-quality earnings engine.","[""Give a clear yes-or-no style conclusion"",""Explain where advertising sits within Amazon's overall business mix"",""Preserve uncertainty where profit quality cannot be directly verified""]"
18,"If you only look at pricing power and business-structure quality, which company looks cleaner: Coca-Cola or Pepsi?","Coca-Cola|Pepsi","business_model_or_segment_quality","Two-company structure-quality comparison","stable","natural","boundary","may_pass_with_tuning","evidence_synthesis_limit","multi_entity_overload","SEC","max_tool_calls","This is a near-V1 boundary case: two companies, same industry, clear comparison dimensions, but it still requires a relative ranking rather than separate mini-essays.","[""Compare at least pricing power and business-structure quality"",""Give a relative judgment"",""Do not rely on brand impressions alone""]"
19,"Does Berkshire Hathaway's financial profile still look conservative right now?","Berkshire Hathaway","capital_allocation_or_financial_quality","Financial profile interpretation","stable","natural","core","should_pass","tool_routing_error","overreach_vs_abstain","yfinance","none","This should be answerable from current yfinance indicators. The goal is not perfect completeness, but staying within tool-visible facts instead of inventing unsupported details.","[""Use at least one or two concrete financial indicators"",""State clearly whether the profile looks conservative"",""Do not invent details the tools cannot support""]"
20,"Does Coca-Cola still look like the kind of company with stable dividends?","Coca-Cola","capital_allocation_or_financial_quality","Dividend stability + financial support judgment","stable","natural","core","should_pass","tool_routing_error","evidence_synthesis_limit","yfinance","none","This tests whether near-V1 can use accessible dividend and cash-flow-related fields to make a concise, evidence-based judgment.","[""Mention dividend- or cash-flow-related data"",""Answer whether it still qualifies as a stable-dividend company"",""Do not replace analysis with a generic defensive-stock impression""]"
21,"Analyze Walmart and Costco on cash-flow quality and capital-allocation resilience. Which one looks more stable?","Walmart|Costco","capital_allocation_or_financial_quality","Two-company financial-quality comparison","stable","analysis","boundary","may_pass_with_tuning","evidence_synthesis_limit","tool_routing_error","mixed","max_tool_calls","This requires putting financial quality and capital allocation into the same comparison frame. Near-V1 may discuss only one side or only one metric.","[""Compare the two companies on cash-flow quality or capital-allocation resilience"",""Give a relative judgment on which is more stable"",""Explain what data or structural factors support the comparison""]"
22,"Among Apple, Microsoft, and Google, which has the most room to keep buying back stock without taking financial risk too high?","Apple|Microsoft|Google","capital_allocation_or_financial_quality","Three-company capital return + financial risk comparison","stable","natural","beyond_boundary","may_pass_with_tuning","multi_entity_overload","evidence_synthesis_limit","yfinance","max_tool_calls","This intentionally places three large platform companies into one capital-allocation question to see whether near-V1 can still maintain a relatively clear ranking in a multi-company comparison.","[""Cover all three companies rather than discussing only one or two"",""Compare capital return and financial risk on two dimensions"",""Preserve uncertainty where direct data is lacking""]"
23,"Is Tesla expensive for good reason right now, or has the market already priced in too much good news?","Tesla","valuation_or_expectation_sanity_check","Valuation + expectations reasonableness judgment","stable","natural","boundary","may_pass_with_tuning","overreach_vs_abstain","evidence_synthesis_limit","yfinance","prompt","This tests whether near-V1 can connect valuation with the growth narrative while still staying within proper bounds, rather than turning the answer into an overconfident investment call.","[""Use both valuation and growth-related signals"",""Conclude whether the valuation is justified or too much good news is already priced in"",""Do not treat future narratives as certain facts""]"
24,"Analyze whether Tesla or Nvidia looks more like a stock where most of the good news is already reflected in the share price.","Tesla|Nvidia","valuation_or_expectation_sanity_check","Two-company valuation expectations comparison","stable","analysis","boundary","may_pass_with_tuning","evidence_synthesis_limit","multi_entity_overload","yfinance","max_tool_calls","This is a classic near-V1 boundary case: two companies, high-narrative stocks, and a need to compare valuation alongside growth expectations.","[""Compare at least two valuation- or growth-related indicators"",""Give a relative judgment on which looks more fully priced for good news"",""Clarify that this is an expectations check rather than a full investment recommendation""]"
25,"Between Disney and Netflix right now, which one faces less demanding market expectations?","Disney|Netflix","valuation_or_expectation_sanity_check","Relative expectations judgment","recent","natural","boundary","may_pass_with_tuning","source_coverage_gap","evidence_synthesis_limit","mixed","tavily_sources","This mixes recent narrative with an expectations judgment. Near-V1 can be pulled too much by news volume and fail to separate market expectations from confirmable facts.","[""Compare the recent narratives and market expectations around both companies"",""Give a judgment on which one has less demanding expectations"",""Preserve uncertainty where evidence is not direct enough""]"
26,"Analyze which of these high-quality winners is most vulnerable to the market cutting down its expectations first: Nvidia, Eli Lilly, or Costco.","Nvidia|Eli Lilly|Costco","valuation_or_expectation_sanity_check","Cross-sector expectations-downside comparison","stable","analysis","beyond_boundary","may_pass_with_tuning","multi_entity_overload","evidence_synthesis_limit","mixed","max_tool_calls","This intentionally compares companies across sectors. Near-V1 can easily force an absolute ranking onto things that are not directly comparable. The correct behavior is to compare where possible while preserving uncertainty.","[""Cover all three companies rather than only one example"",""Explain the logic behind comparing expectation-downside risk"",""Preserve uncertainty where cross-sector comparison is not directly valid""]"
27,"People often say JPMorgan is the steadier one among large banks. Does that still hold up?","JPMorgan","comparative_judgment_or_relative_resilience","Relative stability validation","stable","natural","boundary","may_pass_with_tuning","evidence_synthesis_limit","tool_routing_error","mixed","prompt","Although this is a single-company question, it is really testing a relative market narrative. Near-V1 may simply restate the market view without explaining what the stability claim actually rests on.","[""Do not simply restate the market narrative"",""Tie the answer to at least two of business mix, capital level, or recent risk"",""State whether the claim still holds up""]"
28,"Does Nike really look like it is stabilizing now, or is it still too early to say that?","Nike","comparative_judgment_or_relative_resilience","Recent stabilization-signal judgment","recent","natural","boundary","may_pass_with_tuning","source_coverage_gap","overreach_vs_abstain","Tavily","tavily_sources","This specifically tests recent-news diagnosis. If signals from trusted domains are still insufficient, near-V1 should admit that it is too early to call a confirmed turnaround.","[""Judge stabilization using recent confirmable signals"",""Distinguish early improvement from a confirmed turn"",""Do not force a strong conclusion when evidence is weak""]"
29,"Analyze whether Boeing or Airbus looks better positioned to get through the current period of supply-chain and regulatory turbulence.","Boeing|Airbus","comparative_judgment_or_relative_resilience","Two-company resilience comparison","recent","analysis","beyond_boundary","may_pass_with_tuning","multi_entity_overload","source_coverage_gap","mixed","max_tool_calls","This ties together recent regulation, supply-chain issues, and relative resilience to observe whether near-V1 loses its judgment under a mixed-source, two-company comparison.","[""Compare how the two companies differ under supply-chain and regulatory pressure"",""Give a judgment on which is better positioned to get through this period"",""Preserve uncertainty where the comparison is evidence-thin""]"
30,"If the economy only slips into a mild recession, which company looks more resilient: Walmart, Costco, or McDonald's?","Walmart|Costco|McDonald's","comparative_judgment_or_relative_resilience","Three-company relative resilience comparison","stable","natural","beyond_boundary","may_pass_with_tuning","multi_entity_overload","evidence_synthesis_limit","mixed","max_tool_calls","This is an intentionally retained 3+ company stress test. Near-V1 should make a relative comparison, but it should also know where to stop rather than becoming too certain about differences across very different business models.","[""Cover the resilience drivers of all three companies"",""Give a relative resilience judgment"",""Preserve uncertainty where the business models are not directly comparable""]"
